Plate ID,Well Location,Sample ID,Customer Sample Name (optional),Subject Barcode (optional),Comments (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A01,P01A01S000001,BR-23GS-C4-003-01,Seedling.23.BR-23GS-C4-003-01_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A02,P01A02S000009,BR-23GS-C4-005-01,Seedling.23.BR-23GS-C4-005-01_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A03,P01A03S000017,BR-23GS-C4-005-02,Seedling.23.BR-23GS-C4-005-02_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A04,P01A04S000025,BR-23GS-C4-005-03,Seedling.23.BR-23GS-C4-005-03_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A05,P01A05S000033,BR-23GS-C4-005-04,Seedling.23.BR-23GS-C4-005-04_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A06,P01A06S000041,BR-23GS-C4-005-06,Seedling.23.BR-23GS-C4-005-06_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A07,P01A07S000049,BR-23GS-C4-005-07,Seedling.23.BR-23GS-C4-005-07_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A08,P01A08S000057,BR-23GS-C4-005-08,Seedling.23.BR-23GS-C4-005-08_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A09,P01A09S000065,BR-23GS-C4-006-01,Seedling.23.BR-23GS-C4-006-01_54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A10,P01A10S000073,BR-23GS-C4-006-02,Seedling.23.BR-23GS-C4-006-02_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A11,P01A11S000081,BR-23GS-C4-006-03,Seedling.23.BR-23GS-C4-006-03_56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,A12,P01A12S000089,BR-23GS-C4-006-04,Seedling.23.BR-23GS-C4-006-04_57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B01,P01B01S000002,BR-23GS-C4-006-05,Seedling.23.BR-23GS-C4-006-05_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B02,P01B02S000010,BR-23GS-C4-006-07,Seedling.23.BR-23GS-C4-006-07_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B03,P01B03S000018,BR-23GS-C4-007-04,Seedling.23.BR-23GS-C4-007-04_66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B04,P01B04S000026,BR-23GS-C4-008-01,Seedling.23.BR-23GS-C4-008-01_69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B05,P01B05S000034,BR-23GS-C4-008-03,Seedling.23.BR-23GS-C4-008-03_71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B06,P01B06S000042,BR-23GS-C4-008-04,Seedling.23.BR-23GS-C4-008-04_72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B07,P01B07S000050,BR-23GS-C4-010-01,Seedling.23.BR-23GS-C4-010-01_79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B08,P01B08S000058,BR-23GS-C4-010-03,Seedling.23.BR-23GS-C4-010-03_81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-BR-DART-P01,B09,P01B09S000066,BR-23GS-C4-010-04,Seedling.23.BR-23GS-C4-010-04_82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
